event_id,title,slug,category_id,category_slug,age_limit,min_price,max_price,available_tickets_count,event_starts_at,event_ends_at,sell_starts_at,sell_ends_at,upcoming_mode,venue_id,venue_name,venue_phone,venue_mobile,venue_latitude,venue_longitude,poster_url,poster_bg_url,public_state,web_view_rotate
10045,,subscription-no-1,3,concerts,6+,8,8,286,2025-11-01T11:00:00.000000Z,2025-11-29T12:30:00.000000Z,2023-10-11T08:00:00.000000Z,2025-11-29 15:30:00,,15,Chamber and organ music hall,(+994 12) 493 75 37,,40.377088372117,49.84764088687,https://cdn.iticket.az/event/poster/LY5a437rb2NMWSgI1H6uIQxFc7tSJxNPUFiU0wcD.png,https://cdn.iticket.az/event/poster_bg/gn6BCjGX74YVl5iuJudJOlMyOwqro4bBong86zXA.jpg,1,True
10274,,azerbaijan-state-chamber-orchestra-named-after-g-garayevlast,3,concerts,6+,4,20,370,2025-11-24T15:00:00.000000Z,2025-11-24T17:00:00.000000Z,2025-10-27T07:00:00.000000Z,2025-11-24 19:30:00,,,,,,,,https://cdn.iticket.az/event/poster/OsGdRZUQMayEFlmWH2XLoqUjs7QUIM6RycXbWnxh.png,https://cdn.iticket.az/event/poster_bg/7NBYnMJQScmnkxXkAAuULTF8Q4dl0JbNeBAI9EnF.jpg,1,True
10123,,ashraf-ashrafzade-85th-anniversary-tribute-night,3,concerts,12+,10,20,7,2025-11-24T15:00:00.000000Z,2025-11-24T17:00:00.000000Z,2025-10-17T08:00:00.000000Z,2025-11-24 19:30:00,,,,,,,,https://cdn.iticket.az/event/poster/PIgFjwr9cprexShitJ1TkWgGm8KLicqw1DN0NjLE.png,https://cdn.iticket.az/event/poster_bg/mfqyvxA5c7AoezOUvtfggC6aMvDPi3Stmnan53xd.jpg,1,True
10184,,teymur-amrah-zabita-aliyeva-ulvi-kylinj,3,concerts,6+,20,60,1,2025-11-24T16:00:00.000000Z,2025-11-24T17:30:00.000000Z,2025-10-27T08:00:00.000000Z,2025-11-24 20:30:00,,27,The concert hall of Opera Studio to Baku Music Academy,(+994 12)493 02 30,,40.3770634,49.844961,https://cdn.iticket.az/event/poster/XMhwVKb5eva6VU9kQAoXbAy57tr7BzUDt4FksdGV.png,https://cdn.iticket.az/event/poster_bg/KVe1JIgC3ldCvypUDMXuUHFsSMvqM06ho68iut72.jpg,1,True
10056,,screening-of-the-film-delibal2,98,cinema,12+,8,8,287,2025-11-24T16:50:00.000000Z,2025-12-26T16:10:00.000000Z,2025-10-13T08:00:00.000000Z,2025-12-26 18:25:00,,630,Cinema LandMark,(+994 12) 465 20 00,,40.3760387,49.8508607,https://cdn.iticket.az/event/poster/KZTdXJoYzQhUHTQ7pbBGPgOtGtdRpdS2ALDZka4v.png,https://cdn.iticket.az/event/poster_bg/N0U38FFlH5nD5l4aYxvfHWgdKyKcg8WuP9ouadI6.jpg,1,True
4010,,robotics-master-class,71,master-class,4+,30,30,125,2025-11-25T07:00:00.000000Z,2025-11-30T13:00:00.000000Z,2023-01-13T06:00:00.000000Z,2025-11-30 15:45:00,,329,Caspian Plaza - Baku,+994552008939,,40.3850327,49.8285675,https://cdn.iticket.az/event/poster/BfbYZquW7g5rrGoJ0p8DtSybVfSpoI6xGIJJ2v2E.png,https://cdn.iticket.az/event/poster_bg/IQ4qzF29V14d8AR78zGvqQOQvcJG3VekuekSBzTd.jpg,1,True
3132,,creative-master-class-for-kids,71,master-class,3+,15,18,244,2025-11-25T07:00:00.000000Z,2025-11-29T13:00:00.000000Z,2020-04-24T09:45:00.000000Z,2025-11-29 16:10:00,,229,Free Children,(+994) 50 433 06 71,(+994) 55 350 03 06,40.3945471,49.8351519,https://cdn.iticket.az/event/poster/kwJ11HUl86yQysoHNlvykgZcwwNwghGi2AAL42ES.png,https://cdn.iticket.az/event/poster_bg/CocGAcbrbuTgtV85jcfY8xOU5Tn3CuHeNA2WRIP6.jpg,1,True
10324,,tik-tik-lady2025,4,theatre,3+,5,5,495,2025-11-25T07:30:00.000000Z,2025-11-25T08:00:00.000000Z,2025-11-18T07:00:00.000000Z,2025-11-25 11:20:00,,479,Azerbaijan National Carpet Museum,(+994) 12-497-20-16,(+994) 12-497-20-57,40.3599298,49.8358238,https://cdn.iticket.az/event/poster/sL7pMHRUmHb2l8Ghpml9q43PLGkMsGdlsQBZmwvE.png,https://cdn.iticket.az/event/poster_bg/IEz9dw8FA8JdorzDtPpyFu93KctmFimy1PSWNFxj.jpg,1,True
8367,,shangulum-shungulum-mangulum-marionette-puppet-theatre-performance,4,theatre,3-7,5,5,16,2025-11-25T08:00:00.000000Z,2025-11-25T08:20:00.000000Z,2025-02-07T08:00:00.000000Z,2025-11-25 12:00:00,,479,Azerbaijan National Carpet Museum,(+994) 12-497-20-16,(+994) 12-497-20-57,40.3599298,49.8358238,https://cdn.iticket.az/event/poster/dx6bvMAtZ2ji5dNM4FtlY7SvtpldbSVj5H7s89cQ.png,https://cdn.iticket.az/event/poster_bg/oFTZoZe2REIFx9itounhUCM1Oe3941mHyKkFylkA.jpg,1,True
10349,,screening-of-the-film-toy-story,98,cinema,6+,8,8,40,2025-11-25T10:00:00.000000Z,2025-11-25T11:20:00.000000Z,2025-10-13T08:00:00.000000Z,2025-11-25 14:10:00,,630,Cinema LandMark,(+994 12) 465 20 00,,40.3760387,49.8508607,https://cdn.iticket.az/event/poster/YwWmn2qDl4hUpS5pkNXFSyF3gkCNNIeoG73jWVlO.png,https://cdn.iticket.az/event/poster_bg/vhH4f6V6zlRkgVcNkC2dfKXAVP9XMR621rqRuE5K.jpg,1,True
